State,Year,18-20,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,Candidate
 Tennessee,2012,2,1,1,1,1,1,1,1,1,Democrat
 Tennessee,2022,2,1,1,1,1,1,1,1,1,Democrat
 South Dakota,2022,2,1,1,1,1,1,1,1,1,Democrat
 South Dakota,2016,2,1,1,1,1,1,1,1,1,Democrat
 South Dakota,2012,2,1,1,1,1,1,1,1,1,Democrat
 South Dakota,2008,2,1,1,1,1,1,1,1,1,Democrat
 South Dakota,2020,0,0,0,0,0,0,0,0,0,Democrat
 South Dakota,2022,2,1,1,1,1,1,1,1,1,Republican
 South Dakota,2020,0,0,0,0,0,0,0,0,0,Republican
 South Dakota,2016,2,1,1,1,1,1,1,1,1,Republican
 South Dakota,2012,2,1,1,1,1,1,1,1,1,Republican
 South Dakota,2008,2,1,1,1,1,1,1,1,1,Republican
 South Carolina,2016,2,1,1,1,1,1,1,1,1,Republican
 South Carolina,2022,2,1,1,1,1,1,1,1,1,Republican
 South Carolina,2020,0,0,0,0,0,0,0,0,0,Republican
 South Carolina,2008,2,1,1,1,1,1,1,1,1,Republican
 South Carolina,2012,2,1,1,1,1,1,1,1,1,Republican
 South Carolina,2008,2,1,1,1,1,1,1,1,1,Democrat
 South Carolina,2012,2,1,1,1,1,1,1,1,1,Democrat
 South Carolina,2016,2,1,1,1,1,1,1,1,1,Democrat
 South Carolina,2020,0,0,0,0,0,0,0,0,0,Democrat
 South Carolina,2022,2,1,1,1,1,1,1,1,1,Democrat
 Rhode Island,2008,2,1,1,1,1,1,1,1,1,Republican
 Rhode Island,2022,2,1,1,1,1,1,1,1,1,Republican
 Rhode Island,2012,2,1,1,1,1,1,1,1,1,Republican
 Rhode Island,2020,0,0,0,0,0,0,0,0,0,Republican
 Rhode Island,2022,2,1,1,1,1,1,1,1,1,Democrat
 Rhode Island,2020,0,0,0,0,0,0,0,0,0,Democrat
 Rhode Island,2016,2,1,1,1,1,1,1,1,1,Democrat
 Rhode Island,2016,2,1,1,1,1,1,1,1,1,Republican
 Rhode Island,2012,2,1,1,1,1,1,1,1,1,Democrat
 Rhode Island,2008,2,1,1,1,1,1,1,1,1,Democrat
 Puerto Rico,2016,2,1,1,1,1,1,1,1,1,Republican
 Puerto Rico,2020,0,0,0,0,0,0,0,0,0,Republican
 Puerto Rico,2022,2,1,1,1,1,1,1,1,1,Democrat
 Puerto Rico,2020,0,0,0,0,0,0,0,0,0,Democrat
 Puerto Rico,2016,2,1,1,1,1,1,1,1,1,Democrat
 Puerto Rico,2012,2,1,1,1,1,1,1,1,1,Democrat
 Puerto Rico,2008,2,1,1,1,1,1,1,1,1,Republican
 Puerto Rico,2012,2,1,1,1,1,1,1,1,1,Republican
 Puerto Rico,2022,2,1,1,1,1,1,1,1,1,Republican
 Puerto Rico,2008,2,1,1,1,1,1,1,1,1,Democrat
 Pennsylvania,2022,2,1,1,1,1,1,1,1,1,Republican
 Pennsylvania,2020,0,0,0,0,0,0,0,0,0,Republican
 Pennsylvania,2016,2,1,1,1,1,1,1,1,1,Republican
 Pennsylvania,2008,2,1,1,1,1,1,1,1,1,Republican
 Pennsylvania,2012,2,1,1,1,1,1,1,1,1,Republican
